BAT+1:1
BATGND1:1
DL1:1
DL10:1
DL11:1
DL12:1
DL13:1
DL14:1
DL15:1
DL16:1
DL17:1
DL18:1
DL19:1
DL2:1
DL20:1
DL3:1
DL4:1
DL5:1
DL6:1
DL7:1
DL8:1
DL9:1
ENCL17:1
G***:2
J1:1
PSW1:1
REF**:7
RSW1:1
SWL1:1
SWL10:1
SWL11:1
SWL12:1
SWL13:1
SWL14:1
SWL15:1
SWL16:1
SWL18:1
SWL19:1
SWL2:1
SWL20:1
SWL3:1
SWL4:1
SWL5:1
SWL6:1
SWL7:1
SWL8:1
SWL9:1
U1:1
